1.440000 	 -nan 	 -nan	758.386755
1.450000 	 -nan 	 -nan	751.203955
1.460000 	 -nan 	 -nan	744.059694
1.470000 	 -nan 	 -nan	736.955477
1.480000 	 -nan 	 -nan	729.892714
1.490000 	 -nan 	 -nan	722.872727
1.500000 	 -nan 	 -nan	715.896749
1.510000 	 -nan 	 -nan	708.965931
1.520000 	 -nan 	 -nan	702.081347
1.530000 	 -nan 	 -nan	695.243989
1.540000 	 -nan 	 -nan	688.454782
1.550000 	 -nan 	 -nan	681.714575
1.560000 	 -nan 	 -nan	675.024152
1.570000 	 -nan 	 -nan	668.384233
1.580000 	 -nan 	 -nan	661.795474
1.590000 	 -nan 	 -nan	655.258473
1.600000 	 -nan 	 -nan	648.773771
1.610000 	 -nan 	 -nan	642.341854
1.620000 	 -nan 	 -nan	635.963157
1.630000 	 -nan 	 -nan	629.638064
1.640000 	 -nan 	 -nan	623.366914
1.650000 	 -nan 	 -nan	617.149999
1.660000 	 -nan 	 -nan	610.987567
1.670000 	 -nan 	 -nan	604.879827
1.680000 	 -nan 	 -nan	598.826946
1.690000 	 -nan 	 -nan	592.829058
1.700000 	 -nan 	 -nan	586.886257
1.710000 	 -nan 	 -nan	580.998605
1.720000 	 -nan 	 -nan	575.166133
1.730000 	 -nan 	 -nan	569.388838
1.740000 	 -nan 	 -nan	563.666692
1.750000 	 -nan 	 -nan	557.999637
1.760000 	 -nan 	 -nan	552.387590
1.770000 	 -nan 	 -nan	546.830441
1.780000 	 -nan 	 -nan	541.328061
1.790000 	 -nan 	 -nan	535.880294
1.800000 	 -nan 	 -nan	530.486966
1.810000 	 -nan 	 -nan	525.147883
1.820000 	 -nan 	 -nan	519.862831
1.830000 	 -nan 	 -nan	514.631580
1.840000 	 -nan 	 -nan	509.453882
1.850000 	 -nan 	 -nan	504.329475
1.860000 	 -nan 	 -nan	499.258081
1.870000 	 -nan 	 -nan	494.239409
1.880000 	 -nan 	 -nan	489.273155
1.890000 	 -nan 	 -nan	484.359004
1.900000 	 -nan 	 -nan	479.496628
1.910000 	 -nan 	 -nan	474.685689
1.920000 	 -nan 	 -nan	469.925841
1.930000 	 -nan 	 -nan	465.216727
1.940000 	 -nan 	 -nan	460.557984
1.950000 	 -nan 	 -nan	455.949238
1.960000 	 -nan 	 -nan	451.390110
1.970000 	 -nan 	 -nan	446.880215
1.980000 	 -nan 	 -nan	442.419161
1.990000 	 -nan 	 -nan	438.006551
2.000000 	 -nan 	 -nan	433.641984
2.010000 	 -nan 	 -nan	429.325052
2.020000 	 -nan 	 -nan	425.055345
2.030000 	 -nan 	 -nan	420.832450
2.040000 	 -nan 	 -nan	416.655950
2.050000 	 -nan 	 -nan	412.525426
2.060000 	 -nan 	 -nan	408.440454
2.070000 	 -nan 	 -nan	404.400612
2.080000 	 -nan 	 -nan	400.405474
2.090000 	 -nan 	 -nan	396.454613
2.100000 	 -nan 	 -nan	392.547602
2.110000 	 -nan 	 -nan	388.684012
2.120000 	 -nan 	 -nan	384.863415
2.130000 	 -nan 	 -nan	381.085381
2.140000 	 -nan 	 -nan	377.349481
2.150000 	 -nan 	 -nan	373.655288
2.160000 	 -nan 	 -nan	370.002373
2.170000 	 -nan 	 -nan	366.390310
2.180000 	 -nan 	 -nan	362.818671
2.190000 	 -nan 	 -nan	359.287033
2.200000 	 -nan 	 -nan	355.794971
2.210000 	 -nan 	 -nan	352.342064
2.220000 	 -nan 	 -nan	348.927891
2.230000 	 -nan 	 -nan	345.552033
2.240000 	 -nan 	 -nan	342.214075
2.250000 	 -nan 	 -nan	338.913600
2.260000 	 -nan 	 -nan	335.650198
2.270000 	 -nan 	 -nan	332.423458
2.280000 	 -nan 	 -nan	329.232972
2.290000 	 -nan 	 -nan	326.078337
2.300000 	 -nan 	 -nan	322.959148
2.310000 	 -nan 	 -nan	319.875007
2.320000 	 -nan 	 -nan	316.825517
2.330000 	 -nan 	 -nan	313.810285
2.340000 	 -nan 	 -nan	310.828918
2.350000 	 -nan 	 -nan	307.881029
2.360000 	 -nan 	 -nan	304.966233
2.370000 	 -nan 	 -nan	302.084149
2.380000 	 -nan 	 -nan	299.234397
2.390000 	 -nan 	 -nan	296.416603
2.400000 	 -nan 	 -nan	293.630393
2.410000 	 -nan 	 -nan	290.875400
2.420000 	 -nan 	 -nan	288.151258
2.430000 	 -nan 	 -nan	285.457604
2.440000 	 -nan 	 -nan	282.794080
2.450000 	 -nan 	 -nan	280.160331
2.460000 	 -nan 	 -nan	277.556003
2.470000 	 -nan 	 -nan	274.980750
2.480000 	 -nan 	 -nan	272.434225
2.490000 	 -nan 	 -nan	269.916087
2.500000 	 -nan 	 -nan	267.425997
2.510000 	 -nan 	 -nan	264.963622
2.520000 	 -nan 	 -nan	262.528629
2.530000 	 -nan 	 -nan	260.120690
2.540000 	 -nan 	 -nan	257.739483
2.550000 	 -nan 	 -nan	255.384684
2.560000 	 -nan 	 -nan	253.055978
2.570000 	 -nan 	 -nan	250.753049
2.580000 	 -nan 	 -nan	248.475588
2.590000 	 -nan 	 -nan	246.223288
2.600000 	 -nan 	 -nan	243.995843
2.610000 	 -nan 	 -nan	241.792955
2.620000 	 -nan 	 -nan	239.614326
2.630000 	 -nan 	 -nan	237.459663
2.640000 	 -nan 	 -nan	235.328675
2.650000 	 -nan 	 -nan	233.221075
2.660000 	 -nan 	 -nan	231.136580
2.670000 	 -nan 	 -nan	229.074910
2.680000 	 -nan 	 -nan	227.035788
2.690000 	 -nan 	 -nan	225.018939
2.700000 	 -nan 	 -nan	223.024093
2.710000 	 -nan 	 -nan	221.050984
2.720000 	 -nan 	 -nan	219.099346
2.730000 	 -nan 	 -nan	217.168919
2.740000 	 -nan 	 -nan	215.259445
2.750000 	 -nan 	 -nan	213.370669
2.760000 	 -nan 	 -nan	211.502340
2.770000 	 -nan 	 -nan	209.654209
2.780000 	 -nan 	 -nan	207.826030
2.790000 	 -nan 	 -nan	206.017561
2.800000 	 -nan 	 -nan	204.228562
2.810000 	 -nan 	 -nan	202.458796
2.820000 	 -nan 	 -nan	200.708031
2.830000 	 -nan 	 -nan	198.976034
2.840000 	 -nan 	 -nan	197.262579
2.850000 	 -nan 	 -nan	195.567439
2.860000 	 -nan 	 -nan	193.890393
2.870000 	 -nan 	 -nan	192.231221
2.880000 	 -nan 	 -nan	190.589706
2.890000 	 -nan 	 -nan	188.965634
2.900000 	 -nan 	 -nan	187.358793
2.910000 	 -nan 	 -nan	185.768976
2.920000 	 -nan 	 -nan	184.195976
2.930000 	 -nan 	 -nan	182.639589
2.940000 	 -nan 	 -nan	181.099614
2.950000 	 -nan 	 -nan	179.575854
2.960000 	 -nan 	 -nan	178.068112
2.970000 	 -nan 	 -nan	176.576195
2.980000 	 -nan 	 -nan	175.099912
2.990000 	 -nan 	 -nan	173.639074
3.000000 	 -nan 	 -nan	172.193496
3.010000 	 -nan 	 -nan	170.762994
3.020000 	 -nan 	 -nan	169.347386
3.030000 	 -nan 	 -nan	167.946494
3.040000 	 -nan 	 -nan	166.560140
3.050000 	 -nan 	 -nan	165.188151
3.060000 	 -nan 	 -nan	163.830355
3.070000 	 -nan 	 -nan	162.486580
3.080000 	 -nan 	 -nan	161.156660
3.090000 	 -nan 	 -nan	159.840428
3.100000 	 -nan 	 -nan	158.537722
3.110000 	 -nan 	 -nan	157.248379
3.120000 	 -nan 	 -nan	155.972241
3.130000 	 -nan 	 -nan	154.709151
3.140000 	 -nan 	 -nan	153.458952
3.150000 	 -nan 	 -nan	152.221492
3.160000 	 -nan 	 -nan	150.996620
3.170000 	 -nan 	 -nan	149.784185
3.180000 	 -nan 	 -nan	148.584042
3.190000 	 -nan 	 -nan	147.396043
3.200000 	 -nan 	 -nan	146.220047
3.210000 	 -nan 	 -nan	145.055910
3.220000 	 -nan 	 -nan	143.903494
3.230000 	 -nan 	 -nan	142.762659
3.240000 	 -nan 	 -nan	141.633270
3.250000 	 -nan 	 -nan	140.515192
3.260000 	 -nan 	 -nan	139.408293
3.270000 	 -nan 	 -nan	138.312440
3.280000 	 -nan 	 -nan	137.227505
3.290000 	 -nan 	 -nan	136.153360
3.300000 	 -nan 	 -nan	135.089879
3.310000 	 -nan 	 -nan	134.036937
3.320000 	 -nan 	 -nan	132.994411
3.330000 	 -nan 	 -nan	131.962181
3.340000 	 -nan 	 -nan	130.940126
3.350000 	 -nan 	 -nan	129.928128
3.360000 	 -nan 	 -nan	128.926072
3.370000 	 -nan 	 -nan	127.933840
3.380000 	 -nan 	 -nan	126.951320
3.390000 	 -nan 	 -nan	125.978400
3.400000 	 -nan 	 -nan	125.014969
3.410000 	 -nan 	 -nan	124.060917
3.420000 	 -nan 	 -nan	123.116136
3.430000 	 -nan 	 -nan	122.180521
3.440000 	 -nan 	 -nan	121.253965
3.450000 	 -nan 	 -nan	120.336365
3.460000 	 -nan 	 -nan	119.427618
3.470000 	 -nan 	 -nan	118.527624
3.480000 	 -nan 	 -nan	117.636282
3.490000 	 -nan 	 -nan	116.753493
3.500000 	 -nan 	 -nan	115.879161
3.510000 	 -nan 	 -nan	115.013188
3.520000 	 -nan 	 -nan	114.155481
3.530000 	 -nan 	 -nan	113.305946
3.540000 	 -nan 	 -nan	112.464490
3.550000 	 -nan 	 -nan	111.631021
3.560000 	 -nan 	 -nan	110.805450
3.570000 	 -nan 	 -nan	109.987687
3.580000 	 -nan 	 -nan	109.177645
3.590000 	 -nan 	 -nan	108.375237
3.600000 	 -nan 	 -nan	107.580377
3.610000 	 -nan 	 -nan	106.792980
3.620000 	 -nan 	 -nan	106.012964
3.630000 	 -nan 	 -nan	105.240245
3.640000 	 -nan 	 -nan	104.474743
3.650000 	 -nan 	 -nan	103.716376
3.660000 	 -nan 	 -nan	102.965066
3.670000 	 -nan 	 -nan	102.220734
3.680000 	 -nan 	 -nan	101.483302
3.690000 	 -nan 	 -nan	100.752695
3.700000 	 -nan 	 -nan	100.028837
3.710000 	 -nan 	 -nan	99.311653
