-4.430000 	 -nan 	 -nan	318.309886
-4.420000 	 -nan 	 -nan	318.309886
-4.410000 	 -nan 	 -nan	318.309886
-4.400000 	 -nan 	 -nan	318.309886
-4.390000 	 -nan 	 -nan	318.309886
-4.380000 	 -nan 	 -nan	318.309886
-4.370000 	 -nan 	 -nan	318.309886
-4.360000 	 -nan 	 -nan	318.309886
-4.350000 	 -nan 	 -nan	318.309886
-4.340000 	 -nan 	 -nan	318.309886
-4.330000 	 -nan 	 -nan	318.309886
-4.320000 	 -nan 	 -nan	318.309886
-4.310000 	 -nan 	 -nan	318.309886
-4.300000 	 -nan 	 -nan	318.309886
-4.290000 	 -nan 	 -nan	318.309886
-4.280000 	 -nan 	 -nan	318.309886
-4.270000 	 -nan 	 -nan	318.309886
-4.260000 	 -nan 	 -nan	318.309886
-4.250000 	 -nan 	 -nan	318.309886
-4.240000 	 -nan 	 -nan	318.309886
-4.230000 	 -nan 	 -nan	318.309886
-4.220000 	 -nan 	 -nan	318.309886
-4.210000 	 -nan 	 -nan	318.309886
-4.200000 	 -nan 	 -nan	318.309886
-4.190000 	 -nan 	 -nan	318.309886
-4.180000 	 -nan 	 -nan	318.309886
-4.170000 	 -nan 	 -nan	318.309886
-4.160000 	 -nan 	 -nan	318.309886
-4.150000 	 -nan 	 -nan	318.309886
-4.140000 	 -nan 	 -nan	318.309886
-4.130000 	 -nan 	 -nan	318.309886
-4.120000 	 -nan 	 -nan	318.309886
-4.110000 	 -nan 	 -nan	318.309886
-4.100000 	 -nan 	 -nan	318.309886
-4.090000 	 -nan 	 -nan	318.309886
-4.080000 	 -nan 	 -nan	318.309886
-4.070000 	 -nan 	 -nan	318.309886
-4.060000 	 -nan 	 -nan	318.309886
-4.050000 	 -nan 	 -nan	318.309886
-4.040000 	 -nan 	 -nan	318.309886
-4.030000 	 -nan 	 -nan	318.309886
-4.020000 	 -nan 	 -nan	318.309886
-4.010000 	 -nan 	 -nan	318.309886
-4.000000 	 -nan 	 -nan	318.309886
-3.990000 	 -nan 	 -nan	318.309886
-3.980000 	 -nan 	 -nan	318.309886
-3.970000 	 -nan 	 -nan	318.309886
-3.960000 	 -nan 	 -nan	318.309886
-3.950000 	 -nan 	 -nan	318.309886
-3.940000 	 -nan 	 -nan	318.309886
-3.930000 	 -nan 	 -nan	318.309886
-3.920000 	 -nan 	 -nan	318.309886
-3.910000 	 -nan 	 -nan	318.309886
-3.900000 	 -nan 	 -nan	318.309886
-3.890000 	 -nan 	 -nan	318.309886
-3.880000 	 -nan 	 -nan	318.309886
-3.870000 	 -nan 	 -nan	318.309886
-3.860000 	 -nan 	 -nan	318.309886
-3.850000 	 -nan 	 -nan	318.309886
-3.840000 	 -nan 	 -nan	318.309886
-3.830000 	 -nan 	 -nan	318.309886
-3.820000 	 -nan 	 -nan	318.309886
-3.810000 	 -nan 	 -nan	318.309886
-3.800000 	 -nan 	 -nan	318.309886
-3.790000 	 -nan 	 -nan	318.309886
-3.780000 	 -nan 	 -nan	318.309886
-3.770000 	 -nan 	 -nan	318.309886
-3.760000 	 -nan 	 -nan	318.309886
-3.750000 	 -nan 	 -nan	318.309886
-3.740000 	 -nan 	 -nan	318.309886
-3.730000 	 -nan 	 -nan	318.309886
-3.720000 	 -nan 	 -nan	318.309886
-3.710000 	 -nan 	 -nan	318.309886
-3.700000 	 -nan 	 -nan	318.309886
-3.690000 	 -nan 	 -nan	318.309886
-3.680000 	 -nan 	 -nan	318.309886
-3.670000 	 -nan 	 -nan	318.309886
-3.660000 	 -nan 	 -nan	318.309886
-3.650000 	 -nan 	 -nan	318.309886
-3.640000 	 -nan 	 -nan	318.309886
-3.630000 	 -nan 	 -nan	318.309886
-3.620000 	 -nan 	 -nan	318.309886
-3.610000 	 -nan 	 -nan	318.309886
-3.600000 	 -nan 	 -nan	318.309886
-3.590000 	 -nan 	 -nan	318.309886
-3.580000 	 -nan 	 -nan	318.309886
-3.570000 	 -nan 	 -nan	318.309886
-3.560000 	 -nan 	 -nan	318.309886
-3.550000 	 -nan 	 -nan	318.309886
-3.540000 	 -nan 	 -nan	318.309886
-3.530000 	 -nan 	 -nan	318.309886
-3.520000 	 -nan 	 -nan	318.309886
-3.510000 	 -nan 	 -nan	318.309886
-3.500000 	 -nan 	 -nan	318.309886
-3.490000 	 -nan 	 -nan	318.309886
-3.480000 	 -nan 	 -nan	318.309886
