1.460000 	 -nan 	 -nan	391.044391
1.470000 	 -nan 	 -nan	393.024525
1.480000 	 -nan 	 -nan	394.966047
1.490000 	 -nan 	 -nan	396.868954
1.500000 	 -nan 	 -nan	398.733257
1.510000 	 -nan 	 -nan	400.558979
1.520000 	 -nan 	 -nan	402.346156
1.530000 	 -nan 	 -nan	404.094833
1.540000 	 -nan 	 -nan	405.805071
1.550000 	 -nan 	 -nan	407.476939
1.560000 	 -nan 	 -nan	409.110517
1.570000 	 -nan 	 -nan	410.705898
1.580000 	 -nan 	 -nan	412.263183
1.590000 	 -nan 	 -nan	413.782485
1.600000 	 -nan 	 -nan	415.263927
1.610000 	 -nan 	 -nan	416.707639
1.620000 	 -nan 	 -nan	418.113764
1.630000 	 -nan 	 -nan	419.482451
1.640000 	 -nan 	 -nan	420.813860
1.650000 	 -nan 	 -nan	422.108159
1.660000 	 -nan 	 -nan	423.365524
1.670000 	 -nan 	 -nan	424.586138
1.680000 	 -nan 	 -nan	425.770194
1.690000 	 -nan 	 -nan	426.917892
1.700000 	 -nan 	 -nan	428.029438
1.710000 	 -nan 	 -nan	429.105046
1.720000 	 -nan 	 -nan	430.144936
1.730000 	 -nan 	 -nan	431.149336
1.740000 	 -nan 	 -nan	432.118478
1.750000 	 -nan 	 -nan	433.052603
1.760000 	 -nan 	 -nan	433.951956
1.770000 	 -nan 	 -nan	434.816788
1.780000 	 -nan 	 -nan	435.647354
1.790000 	 -nan 	 -nan	436.443917
1.800000 	 -nan 	 -nan	437.206742
1.810000 	 -nan 	 -nan	437.936100
1.820000 	 -nan 	 -nan	438.632268
1.830000 	 -nan 	 -nan	439.295523
1.840000 	 -nan 	 -nan	439.926151
1.850000 	 -nan 	 -nan	440.524439
1.860000 	 -nan 	 -nan	441.090677
1.870000 	 -nan 	 -nan	441.625161
1.880000 	 -nan 	 -nan	442.128189
1.890000 	 -nan 	 -nan	442.600060
1.900000 	 -nan 	 -nan	443.041080
1.910000 	 -nan 	 -nan	443.451555
1.920000 	 -nan 	 -nan	443.831794
1.930000 	 -nan 	 -nan	444.182107
1.940000 	 -nan 	 -nan	444.502809
1.950000 	 -nan 	 -nan	444.794214
1.960000 	 -nan 	 -nan	445.056641
1.970000 	 -nan 	 -nan	445.290408
1.980000 	 -nan 	 -nan	445.495836
1.990000 	 -nan 	 -nan	445.673245
2.000000 	 -nan 	 -nan	445.822960
2.010000 	 -nan 	 -nan	445.945305
2.020000 	 -nan 	 -nan	446.040603
2.030000 	 -nan 	 -nan	446.109181
2.040000 	 -nan 	 -nan	446.151366
2.050000 	 -nan 	 -nan	446.167483
2.060000 	 -nan 	 -nan	446.157861
2.070000 	 -nan 	 -nan	446.122826
2.080000 	 -nan 	 -nan	446.062706
2.090000 	 -nan 	 -nan	445.977829
2.100000 	 -nan 	 -nan	445.868521
2.110000 	 -nan 	 -nan	445.735111
2.120000 	 -nan 	 -nan	445.577925
2.130000 	 -nan 	 -nan	445.397289
2.140000 	 -nan 	 -nan	445.193529
2.150000 	 -nan 	 -nan	444.966970
2.160000 	 -nan 	 -nan	444.717937
2.170000 	 -nan 	 -nan	444.446754
2.180000 	 -nan 	 -nan	444.153742
2.190000 	 -nan 	 -nan	443.839224
2.200000 	 -nan 	 -nan	443.503520
2.210000 	 -nan 	 -nan	443.146949
2.220000 	 -nan 	 -nan	442.769830
2.230000 	 -nan 	 -nan	442.372480
2.240000 	 -nan 	 -nan	441.955213
2.250000 	 -nan 	 -nan	441.518343
2.260000 	 -nan 	 -nan	441.062184
2.270000 	 -nan 	 -nan	440.587045
2.280000 	 -nan 	 -nan	440.093235
2.290000 	 -nan 	 -nan	439.581062
2.300000 	 -nan 	 -nan	439.050832
2.310000 	 -nan 	 -nan	438.502847
2.320000 	 -nan 	 -nan	437.937410
2.330000 	 -nan 	 -nan	437.354821
2.340000 	 -nan 	 -nan	436.755377
2.350000 	 -nan 	 -nan	436.139374
2.360000 	 -nan 	 -nan	435.507105
2.370000 	 -nan 	 -nan	434.858862
2.380000 	 -nan 	 -nan	434.194935
2.390000 	 -nan 	 -nan	433.515610
2.400000 	 -nan 	 -nan	432.821173
2.410000 	 -nan 	 -nan	432.111906
2.420000 	 -nan 	 -nan	431.388089
2.430000 	 -nan 	 -nan	430.650000
2.440000 	 -nan 	 -nan	429.897916
2.450000 	 -nan 	 -nan	429.132108
2.460000 	 -nan 	 -nan	428.352848
2.470000 	 -nan 	 -nan	427.560404
2.480000 	 -nan 	 -nan	426.755042
2.490000 	 -nan 	 -nan	425.937025
2.500000 	 -nan 	 -nan	425.106615
2.510000 	 -nan 	 -nan	424.264069
2.520000 	 -nan 	 -nan	423.409643
2.530000 	 -nan 	 -nan	422.543591
2.540000 	 -nan 	 -nan	421.666164
2.550000 	 -nan 	 -nan	420.777609
2.560000 	 -nan 	 -nan	419.878172
2.570000 	 -nan 	 -nan	418.968097
2.580000 	 -nan 	 -nan	418.047623
2.590000 	 -nan 	 -nan	417.116988
2.600000 	 -nan 	 -nan	416.176428
2.610000 	 -nan 	 -nan	415.226175
2.620000 	 -nan 	 -nan	414.266459
2.630000 	 -nan 	 -nan	413.297507
2.640000 	 -nan 	 -nan	412.319545
2.650000 	 -nan 	 -nan	411.332794
2.660000 	 -nan 	 -nan	410.337474
