0.010000 	 -nan 	 -nan	-nan
0.020000 	 0.012393 	 0.012393	0.017527
0.030000 	 0.024786 	 0.024786	0.035053
0.040000 	 0.037177 	 0.037177	0.052576
0.050000 	 0.049565 	 0.049565	0.070095
0.060000 	 0.061949 	 0.061949	0.087609
0.070000 	 0.074329 	 0.074329	0.105117
0.080000 	 0.086704 	 0.086704	0.122618
0.090000 	 0.099072 	 0.099072	0.140109
0.100000 	 0.111434 	 0.111434	0.157591
0.110000 	 0.123787 	 0.123787	0.175061
0.120000 	 0.136131 	 0.136131	0.192519
0.130000 	 0.148466 	 0.148466	0.209963
0.140000 	 0.160790 	 0.160790	0.227392
0.150000 	 0.173103 	 0.173103	0.244804
0.160000 	 0.185403 	 0.185403	0.262199
0.170000 	 0.197690 	 0.197690	0.279576
0.180000 	 0.209963 	 0.209963	0.296932
0.190000 	 0.222220 	 0.222220	0.314267
0.200000 	 0.234462 	 0.234462	0.331580
0.210000 	 0.246688 	 0.246688	0.348869
0.220000 	 0.258896 	 0.258896	0.366134
0.230000 	 0.271085 	 0.271085	0.383372
0.240000 	 0.283255 	 0.283255	0.400584
0.250000 	 0.295406 	 0.295406	0.417767
0.260000 	 0.307535 	 0.307535	0.434920
0.270000 	 0.319643 	 0.319643	0.452043
0.280000 	 0.331728 	 0.331728	0.469134
0.290000 	 0.343790 	 0.343790	0.486192
0.300000 	 0.355828 	 0.355828	0.503217
0.310000 	 0.367841 	 0.367841	0.520205
0.320000 	 0.379828 	 0.379828	0.537158
0.330000 	 0.391789 	 0.391789	0.554073
0.340000 	 0.403723 	 0.403723	0.570950
0.350000 	 0.415628 	 0.415628	0.587787
0.360000 	 0.427505 	 0.427505	0.604583
0.370000 	 0.439352 	 0.439352	0.621338
0.380000 	 0.451170 	 0.451170	0.638050
0.390000 	 0.462956 	 0.462956	0.654718
0.400000 	 0.474710 	 0.474710	0.671341
0.410000 	 0.486432 	 0.486432	0.687919
0.420000 	 0.498121 	 0.498121	0.704449
0.430000 	 0.509776 	 0.509776	0.720932
0.440000 	 0.521396 	 0.521396	0.737365
0.450000 	 0.532981 	 0.532981	0.753749
0.460000 	 0.544530 	 0.544530	0.770082
0.470000 	 0.556043 	 0.556043	0.786364
0.480000 	 0.567518 	 0.567518	0.802592
0.490000 	 0.578956 	 0.578956	0.818767
0.500000 	 0.590355 	 0.590355	0.834888
