0.010000 	 -nan 	 -nan	-nan
1.340000 	 1.367323 	 1.923495	2.359959
1.350000 	 1.374174 	 1.918955	2.360242
1.360000 	 1.380967 	 1.914426	2.360529
1.370000 	 1.387704 	 1.909907	2.360819
1.380000 	 1.394384 	 1.905399	2.361113
1.390000 	 1.401008 	 1.900903	2.361410
1.400000 	 1.407576 	 1.896420	2.361711
1.410000 	 1.414088 	 1.891949	2.362015
1.420000 	 1.420543 	 1.887492	2.362323
1.430000 	 1.426943 	 1.883049	2.362634
1.440000 	 1.433287 	 1.878620	2.362948
1.450000 	 1.439576 	 1.874205	2.363266
1.460000 	 1.445810 	 1.869805	2.363586
1.470000 	 1.451989 	 1.865421	2.363909
1.480000 	 1.458113 	 1.861052	2.364235
1.490000 	 1.464182 	 1.856699	2.364564
1.500000 	 1.470197 	 1.852363	2.364894
1.510000 	 1.476157 	 1.848042	2.365227
1.520000 	 1.482064 	 1.843738	2.365562
1.530000 	 1.487917 	 1.839452	2.365899
1.540000 	 1.493716 	 1.835182	2.366237
1.550000 	 1.499462 	 1.830929	2.366577
1.560000 	 1.505155 	 1.826694	2.366918
1.570000 	 1.510794 	 1.822476	2.367260
1.580000 	 1.516381 	 1.818276	2.367603
1.590000 	 1.521916 	 1.814094	2.367946
1.600000 	 1.527398 	 1.809930	2.368289
1.610000 	 1.532829 	 1.805784	2.368633
1.620000 	 1.538208 	 1.801656	2.368976
1.630000 	 1.543535 	 1.797547	2.369319
1.640000 	 1.548811 	 1.793456	2.369662
1.650000 	 1.554035 	 1.789383	2.370004
1.660000 	 1.559209 	 1.785329	2.370344
1.670000 	 1.564333 	 1.781293	2.370684
1.680000 	 1.569406 	 1.777276	2.371022
1.690000 	 1.574430 	 1.773277	2.371358
1.700000 	 1.579403 	 1.769297	2.371693
1.710000 	 1.584327 	 1.765336	2.372025
1.720000 	 1.589202 	 1.761393	2.372355
1.730000 	 1.594028 	 1.757469	2.372683
1.740000 	 1.598805 	 1.753564	2.373007
1.750000 	 1.603534 	 1.749677	2.373329
1.760000 	 1.608214 	 1.745809	2.373648
1.770000 	 1.612847 	 1.741960	2.373963
1.780000 	 1.617432 	 1.738129	2.374274
1.790000 	 1.621970 	 1.734317	2.374582
1.800000 	 1.626460 	 1.730523	2.374886
1.810000 	 1.630904 	 1.726748	2.375186
1.820000 	 1.635302 	 1.722992	2.375481
1.830000 	 1.639653 	 1.719254	2.375772
1.840000 	 1.643958 	 1.715534	2.376059
1.850000 	 1.648217 	 1.711833	2.376340
1.860000 	 1.652431 	 1.708150	2.376616
1.870000 	 1.656600 	 1.704485	2.376887
1.880000 	 1.660724 	 1.700839	2.377153
1.890000 	 1.664803 	 1.697210	2.377413
1.900000 	 1.668838 	 1.693600	2.377667
1.910000 	 1.672829 	 1.690008	2.377916
1.920000 	 1.676776 	 1.686434	2.378158
1.930000 	 1.680680 	 1.682877	2.378395
1.940000 	 1.684541 	 1.679339	2.378625
1.950000 	 1.688359 	 1.675818	2.378848
1.960000 	 1.692134 	 1.672315	2.379065
1.970000 	 1.695867 	 1.668829	2.379276
1.980000 	 1.699557 	 1.665361	2.379479
1.990000 	 1.703206 	 1.661910	2.379676
2.000000 	 1.706814 	 1.658477	2.379865
2.010000 	 1.710380 	 1.655061	2.380048
2.020000 	 1.713906 	 1.651662	2.380223
2.030000 	 1.717391 	 1.648280	2.380390
2.040000 	 1.720835 	 1.644915	2.380550
2.050000 	 1.724240 	 1.641567	2.380703
2.060000 	 1.727605 	 1.638236	2.380848
2.070000 	 1.730930 	 1.634922	2.380985
2.080000 	 1.734216 	 1.631624	2.381114
2.090000 	 1.737463 	 1.628343	2.381235
2.100000 	 1.740671 	 1.625079	2.381348
2.110000 	 1.743842 	 1.621831	2.381453
2.120000 	 1.746974 	 1.618599	2.381550
2.130000 	 1.750068 	 1.615383	2.381638
2.140000 	 1.753124 	 1.612183	2.381718
2.150000 	 1.756144 	 1.609000	2.381790
2.160000 	 1.759126 	 1.605832	2.381853
2.170000 	 1.762072 	 1.602681	2.381907
2.180000 	 1.764981 	 1.599545	2.381953
2.190000 	 1.767855 	 1.596424	2.381991
2.200000 	 1.770692 	 1.593319	2.382019
2.210000 	 1.773494 	 1.590230	2.382039
2.220000 	 1.776260 	 1.587156	2.382050
2.230000 	 1.778991 	 1.584097	2.382053
2.240000 	 1.781688 	 1.581054	2.382046
2.250000 	 1.784350 	 1.578026	2.382031
2.260000 	 1.786978 	 1.575012	2.382006
2.270000 	 1.789572 	 1.572014	2.381973
2.280000 	 1.792132 	 1.569030	2.381930
2.290000 	 1.794659 	 1.566061	2.381879
2.300000 	 1.797152 	 1.563107	2.381819
2.310000 	 1.799613 	 1.560167	2.381749
2.320000 	 1.802041 	 1.557242	2.381670
2.330000 	 1.804437 	 1.554331	2.381583
2.340000 	 1.806800 	 1.551434	2.381486
2.350000 	 1.809132 	 1.548552	2.381380
2.360000 	 1.811432 	 1.545683	2.381265
2.370000 	 1.813700 	 1.542829	2.381141
2.380000 	 1.815938 	 1.539988	2.381007
2.390000 	 1.818145 	 1.537162	2.380865
2.400000 	 1.820321 	 1.534349	2.380713
2.410000 	 1.822467 	 1.531549	2.380552
2.420000 	 1.824582 	 1.528764	2.380382
2.430000 	 1.826668 	 1.525991	2.380203
2.440000 	 1.828725 	 1.523232	2.380015
2.450000 	 1.830752 	 1.520487	2.379818
2.460000 	 1.832750 	 1.517754	2.379611
2.470000 	 1.834719 	 1.515035	2.379396
2.480000 	 1.836659 	 1.512328	2.379171
2.490000 	 1.838572 	 1.509635	2.378937
2.500000 	 1.840456 	 1.506954	2.378695
2.510000 	 1.842312 	 1.504287	2.378443
2.520000 	 1.844140 	 1.501632	2.378182
2.530000 	 1.845941 	 1.498989	2.377913
2.540000 	 1.847715 	 1.496359	2.377634
2.550000 	 1.849462 	 1.493742	2.377346
2.560000 	 1.851183 	 1.491136	2.377050
2.570000 	 1.852877 	 1.488543	2.376744
2.580000 	 1.854544 	 1.485963	2.376430
2.590000 	 1.856186 	 1.483394	2.376107
2.600000 	 1.857802 	 1.480837	2.375775
2.610000 	 1.859392 	 1.478293	2.375434
2.620000 	 1.860957 	 1.475760	2.375085
2.630000 	 1.862497 	 1.473239	2.374727
2.640000 	 1.864012 	 1.470730	2.374360
2.650000 	 1.865502 	 1.468232	2.373985
2.660000 	 1.866968 	 1.465746	2.373601
2.670000 	 1.868410 	 1.463271	2.373209
2.680000 	 1.869828 	 1.460808	2.372808
2.690000 	 1.871222 	 1.458356	2.372398
2.700000 	 1.872592 	 1.455916	2.371980
2.710000 	 1.873939 	 1.453486	2.371554
2.720000 	 1.875262 	 1.451068	2.371119
2.730000 	 1.876563 	 1.448660	2.370676
2.740000 	 1.877841 	 1.446264	2.370225
2.750000 	 1.879097 	 1.443879	2.369766
2.760000 	 1.880330 	 1.441504	2.369298
2.770000 	 1.881541 	 1.439140	2.368823
2.780000 	 1.882730 	 1.436787	2.368339
2.790000 	 1.883898 	 1.434444	2.367847
2.800000 	 1.885044 	 1.432112	2.367347
2.810000 	 1.886168 	 1.429790	2.366840
2.820000 	 1.887272 	 1.427479	2.366324
2.830000 	 1.888354 	 1.425178	2.365801
2.840000 	 1.889416 	 1.422887	2.365269
2.850000 	 1.890457 	 1.420606	2.364730
2.860000 	 1.891478 	 1.418336	2.364184
2.870000 	 1.892478 	 1.416076	2.363630
2.880000 	 1.893459 	 1.413825	2.363068
2.890000 	 1.894420 	 1.411585	2.362498
2.900000 	 1.895361 	 1.409354	2.361921
2.910000 	 1.896283 	 1.407133	2.361337
2.920000 	 1.897186 	 1.404922	2.360745
2.930000 	 1.898069 	 1.402721	2.360146
2.940000 	 1.898934 	 1.400529	2.359540
2.950000 	 1.899779 	 1.398346	2.358927
2.960000 	 1.900607 	 1.396174	2.358306
2.970000 	 1.901416 	 1.394010	2.357678
2.980000 	 1.902207 	 1.391856	2.357043
2.990000 	 1.902979 	 1.389711	2.356401
3.000000 	 1.903734 	 1.387576	2.355753
3.010000 	 1.904472 	 1.385449	2.355097
3.020000 	 1.905191 	 1.383332	2.354434
3.030000 	 1.905894 	 1.381224	2.353765
3.040000 	 1.906579 	 1.379124	2.353089
3.050000 	 1.907247 	 1.377034	2.352406
3.060000 	 1.907899 	 1.374952	2.351717
3.070000 	 1.908533 	 1.372880	2.351021
3.080000 	 1.909152 	 1.370816	2.350318
3.090000 	 1.909753 	 1.368761	2.349609
3.100000 	 1.910339 	 1.366714	2.348894
3.110000 	 1.910909 	 1.364676	2.348172
3.120000 	 1.911462 	 1.362647	2.347444
3.130000 	 1.912000 	 1.360626	2.346710
3.140000 	 1.912523 	 1.358613	2.345970
3.150000 	 1.913030 	 1.356609	2.345223
3.160000 	 1.913521 	 1.354614	2.344470
3.170000 	 1.913998 	 1.352626	2.343712
3.180000 	 1.914459 	 1.350647	2.342947
3.190000 	 1.914906 	 1.348676	2.342177
3.200000 	 1.915338 	 1.346713	2.341400
3.210000 	 1.915756 	 1.344758	2.340618
3.220000 	 1.916159 	 1.342811	2.339830
3.230000 	 1.916547 	 1.340872	2.339036
3.240000 	 1.916922 	 1.338940	2.338237
3.250000 	 1.917283 	 1.337017	2.337432
3.260000 	 1.917630 	 1.335102	2.336622
3.270000 	 1.917963 	 1.333194	2.335806
3.280000 	 1.918282 	 1.331294	2.334984
3.290000 	 1.918589 	 1.329402	2.334158
3.300000 	 1.918881 	 1.327517	2.333326
3.310000 	 1.919161 	 1.325640	2.332488
3.320000 	 1.919428 	 1.323771	2.331646
3.330000 	 1.919682 	 1.321909	2.330798
3.340000 	 1.919922 	 1.320054	2.329945
3.350000 	 1.920151 	 1.318207	2.329087
3.360000 	 1.920367 	 1.316367	2.328224
3.370000 	 1.920570 	 1.314534	2.327357
3.380000 	 1.920761 	 1.312709	2.326484
3.390000 	 1.920940 	 1.310890	2.325606
3.400000 	 1.921107 	 1.309079	2.324724
3.410000 	 1.921262 	 1.307275	2.323837
3.420000 	 1.921405 	 1.305479	2.322945
3.430000 	 1.921537 	 1.303689	2.322048
3.440000 	 1.921657 	 1.301906	2.321147
3.450000 	 1.921766 	 1.300130	2.320242
3.460000 	 1.921863 	 1.298361	2.319331
3.470000 	 1.921949 	 1.296599	2.318417
3.480000 	 1.922024 	 1.294844	2.317498
3.490000 	 1.922088 	 1.293095	2.316574
3.500000 	 1.922141 	 1.291353	2.315647
3.510000 	 1.922184 	 1.289618	2.314715
3.520000 	 1.922215 	 1.287890	2.313779
3.530000 	 1.922237 	 1.286168	2.312838
3.540000 	 1.922248 	 1.284453	2.311894
3.550000 	 1.922248 	 1.282744	2.310946
3.560000 	 1.922238 	 1.281042	2.309993
3.570000 	 1.922219 	 1.279346	2.309037
3.580000 	 1.922189 	 1.277657	2.308076
3.590000 	 1.922149 	 1.275974	2.307112
3.600000 	 1.922100 	 1.274297	2.306144
3.610000 	 1.922041 	 1.272627	2.305172
3.620000 	 1.921972 	 1.270963	2.304197
3.630000 	 1.921894 	 1.269305	2.303217
3.640000 	 1.921806 	 1.267653	2.302235
3.650000 	 1.921709 	 1.266008	2.301248
3.660000 	 1.921603 	 1.264368	2.300258
3.670000 	 1.921488 	 1.262735	2.299264
3.680000 	 1.921364 	 1.261108	2.298267
3.690000 	 1.921231 	 1.259487	2.297267
3.700000 	 1.921089 	 1.257871	2.296263
3.710000 	 1.920939 	 1.256262	2.295256
3.720000 	 1.920779 	 1.254659	2.294245
3.730000 	 1.920612 	 1.253061	2.293232
3.740000 	 1.920435 	 1.251470	2.292215
3.750000 	 1.920251 	 1.249884	2.291195
3.760000 	 1.920058 	 1.248304	2.290171
3.770000 	 1.919857 	 1.246729	2.289145
3.780000 	 1.919648 	 1.245161	2.288116
3.790000 	 1.919431 	 1.243598	2.287083
3.800000 	 1.919206 	 1.242041	2.286048
3.810000 	 1.918973 	 1.240489	2.285010
3.820000 	 1.918732 	 1.238943	2.283969
3.830000 	 1.918484 	 1.237402	2.282925
3.840000 	 1.918228 	 1.235867	2.281878
3.850000 	 1.917965 	 1.234338	2.280828
3.860000 	 1.917694 	 1.232814	2.279776
3.870000 	 1.917416 	 1.231295	2.278721
3.880000 	 1.917130 	 1.229782	2.277664
3.890000 	 1.916838 	 1.228274	2.276603
3.900000 	 1.916538 	 1.226771	2.275541
3.910000 	 1.916231 	 1.225274	2.274475
3.920000 	 1.915918 	 1.223782	2.273408
3.930000 	 1.915597 	 1.222295	2.272337
3.940000 	 1.915270 	 1.220813	2.271265
3.950000 	 1.914936 	 1.219337	2.270190
3.960000 	 1.914595 	 1.217866	2.269112
3.970000 	 1.914247 	 1.216400	2.268032
3.980000 	 1.913894 	 1.214939	2.266950
3.990000 	 1.913533 	 1.213483	2.265866
4.000000 	 1.913167 	 1.212032	2.264780
4.010000 	 1.912794 	 1.210586	2.263691
4.020000 	 1.912414 	 1.209145	2.262600
4.030000 	 1.912029 	 1.207709	2.261507
4.040000 	 1.911637 	 1.206278	2.260412
4.050000 	 1.911240 	 1.204852	2.259315
4.060000 	 1.910837 	 1.203431	2.258216
