0.010000 	 -nan 	 -nan	-nan
0.020000 	 0.069261 	 0.000000	0.069261
0.030000 	 0.138398 	 0.000000	0.138398
0.040000 	 0.207287 	 0.000000	0.207287
0.050000 	 0.275805 	 0.000000	0.275805
0.060000 	 0.343835 	 0.000000	0.343835
0.070000 	 0.411259 	 0.000000	0.411259
0.080000 	 0.477965 	 0.000000	0.477965
0.090000 	 0.543847 	 0.000000	0.543847
0.100000 	 0.608803 	 0.000000	0.608803
0.110000 	 0.672737 	 0.000000	0.672737
0.120000 	 0.735560 	 0.000000	0.735560
0.130000 	 0.797188 	 0.000000	0.797188
0.140000 	 0.857546 	 0.000000	0.857546
0.150000 	 0.916566 	 0.000000	0.916566
0.160000 	 0.974186 	 0.000000	0.974186
0.170000 	 1.030353 	 0.000000	1.030353
0.180000 	 1.085021 	 0.000000	1.085021
0.190000 	 1.138150 	 0.000000	1.138150
0.200000 	 1.189709 	 0.000000	1.189709
0.210000 	 1.239673 	 0.000000	1.239673
0.220000 	 1.288023 	 0.000000	1.288023
0.230000 	 1.334748 	 0.000000	1.334748
0.240000 	 1.379841 	 0.000000	1.379841
0.250000 	 1.423302 	 0.000000	1.423302
0.260000 	 1.465137 	 0.000000	1.465137
0.270000 	 1.505354 	 0.000000	1.505354
0.280000 	 1.543968 	 0.000000	1.543968
0.290000 	 1.580998 	 0.000000	1.580998
0.300000 	 1.616465 	 0.000000	1.616465
0.310000 	 1.650394 	 0.000000	1.650394
0.320000 	 1.682814 	 0.000000	1.682814
0.330000 	 1.713755 	 0.000000	1.713755
0.340000 	 1.743249 	 0.000000	1.743249
0.350000 	 1.771332 	 0.000000	1.771332
0.360000 	 1.798038 	 0.000000	1.798038
0.370000 	 1.823406 	 0.000000	1.823406
0.380000 	 1.847474 	 0.000000	1.847474
0.390000 	 1.870280 	 0.000000	1.870280
0.400000 	 1.891863 	 0.000000	1.891863
0.410000 	 1.912263 	 0.000000	1.912263
0.420000 	 1.931521 	 0.000000	1.931521
0.430000 	 1.949674 	 0.000000	1.949674
0.440000 	 1.966763 	 0.000000	1.966763
0.450000 	 1.982826 	 0.000000	1.982826
0.460000 	 1.997902 	 0.000000	1.997902
0.470000 	 2.012028 	 0.000000	2.012028
0.480000 	 2.025242 	 0.000000	2.025242
0.490000 	 2.037580 	 0.000000	2.037580
0.500000 	 2.049077 	 0.000000	2.049077
0.510000 	 2.059767 	 0.000000	2.059767
0.520000 	 2.069685 	 0.000000	2.069685
0.530000 	 2.078864 	 0.000000	2.078864
0.540000 	 2.087334 	 0.000000	2.087334
0.550000 	 2.095127 	 0.000000	2.095127
0.560000 	 2.102273 	 0.000000	2.102273
0.570000 	 2.108800 	 0.000000	2.108800
0.580000 	 2.114736 	 0.000000	2.114736
0.590000 	 2.120109 	 0.000000	2.120109
0.600000 	 2.124943 	 0.000000	2.124943
0.610000 	 2.129264 	 0.000000	2.129264
0.620000 	 2.133096 	 0.000000	2.133096
0.630000 	 2.136461 	 0.000000	2.136461
0.640000 	 2.139382 	 0.000000	2.139382
0.650000 	 2.141880 	 0.000000	2.141880
0.660000 	 2.143975 	 0.000000	2.143975
0.670000 	 2.145687 	 0.000000	2.145687
0.680000 	 2.147035 	 0.000000	2.147035
0.690000 	 2.148036 	 0.000000	2.148036
0.700000 	 2.148708 	 0.000000	2.148708
0.710000 	 2.149067 	 0.000000	2.149067
0.720000 	 2.149128 	 0.000000	2.149128
0.730000 	 2.148907 	 0.000000	2.148907
0.740000 	 2.148418 	 0.000000	2.148418
0.750000 	 2.147675 	 0.000000	2.147675
0.760000 	 2.146690 	 0.000000	2.146690
0.770000 	 2.145477 	 0.000000	2.145477
0.780000 	 2.144047 	 0.000000	2.144047
0.790000 	 2.142412 	 0.000000	2.142412
0.800000 	 2.140582 	 0.000000	2.140582
0.810000 	 2.138568 	 0.000000	2.138568
0.820000 	 2.136380 	 0.000000	2.136380
0.830000 	 2.134027 	 0.000000	2.134027
0.840000 	 2.131519 	 0.000000	2.131519
0.850000 	 2.128863 	 0.000000	2.128863
0.860000 	 2.126069 	 0.000000	2.126069
0.870000 	 2.123143 	 0.000000	2.123143
0.880000 	 2.120094 	 0.000000	2.120094
0.890000 	 2.116928 	 0.000000	2.116928
0.900000 	 2.113652 	 0.000000	2.113652
0.910000 	 2.110273 	 0.000000	2.110273
0.920000 	 2.106797 	 0.000000	2.106797
0.930000 	 2.103230 	 0.000000	2.103230
0.940000 	 2.099576 	 0.000000	2.099576
0.950000 	 2.095842 	 0.000000	2.095842
0.960000 	 2.092033 	 0.000000	2.092033
0.970000 	 2.088153 	 0.000000	2.088153
0.980000 	 2.084207 	 0.000000	2.084207
0.990000 	 2.080200 	 0.000000	2.080200
1.000000 	 2.076135 	 0.000000	2.076135
1.010000 	 2.072016 	 0.000000	2.072016
1.020000 	 2.067848 	 0.000000	2.067848
1.030000 	 2.063633 	 0.000000	2.063633
1.040000 	 2.059376 	 0.000000	2.059376
1.050000 	 2.055079 	 0.000000	2.055079
1.060000 	 2.050746 	 0.000000	2.050746
1.070000 	 2.046380 	 0.000000	2.046380
1.080000 	 2.041983 	 0.000000	2.041983
1.090000 	 2.037558 	 0.000000	2.037558
1.100000 	 2.033107 	 0.000000	2.033107
1.110000 	 2.028634 	 0.000000	2.028634
1.120000 	 2.024140 	 0.000000	2.024140
1.130000 	 2.019627 	 0.000000	2.019627
1.140000 	 2.015098 	 0.000000	2.015098
1.150000 	 2.010554 	 0.000000	2.010554
1.160000 	 2.005998 	 0.000000	2.005998
1.170000 	 2.001431 	 0.000000	2.001431
1.180000 	 1.996855 	 0.000000	1.996855
1.190000 	 1.992271 	 0.000000	1.992271
1.200000 	 1.987681 	 0.000000	1.987681
1.210000 	 1.983087 	 0.000000	1.983087
1.220000 	 1.978490 	 0.000000	1.978490
1.230000 	 1.973891 	 0.000000	1.973891
1.240000 	 1.969291 	 0.000000	1.969291
1.250000 	 1.964692 	 0.000000	1.964692
1.260000 	 1.960095 	 0.000000	1.960095
1.270000 	 1.955501 	 0.000000	1.955501
1.280000 	 1.950910 	 0.000000	1.950910
1.290000 	 1.946324 	 0.000000	1.946324
1.300000 	 1.941744 	 0.000000	1.941744
1.310000 	 1.937170 	 0.000000	1.937170
1.320000 	 1.932603 	 0.000000	1.932603
1.330000 	 1.928045 	 0.000000	1.928045
1.340000 	 1.923495 	 0.000000	1.923495
1.350000 	 1.918955 	 0.000000	1.918955
1.360000 	 1.914426 	 0.000000	1.914426
1.370000 	 1.909907 	 0.000000	1.909907
1.380000 	 1.905399 	 0.000000	1.905399
1.390000 	 1.900903 	 0.000000	1.900903
1.400000 	 1.896420 	 0.000000	1.896420
1.410000 	 1.891949 	 0.000000	1.891949
1.420000 	 1.887492 	 0.000000	1.887492
1.430000 	 1.883049 	 0.000000	1.883049
1.440000 	 1.878620 	 0.000000	1.878620
1.450000 	 1.874205 	 0.000000	1.874205
1.460000 	 1.869805 	 0.000000	1.869805
1.470000 	 1.865421 	 0.000000	1.865421
1.480000 	 1.861052 	 0.000000	1.861052
1.490000 	 1.856699 	 0.000000	1.856699
1.500000 	 1.852363 	 0.000000	1.852363
1.510000 	 1.848042 	 0.000000	1.848042
1.520000 	 1.843738 	 0.000000	1.843738
1.530000 	 1.839452 	 0.000000	1.839452
1.540000 	 1.835182 	 0.000000	1.835182
1.550000 	 1.830929 	 0.000000	1.830929
1.560000 	 1.826694 	 0.000000	1.826694
1.570000 	 1.822476 	 0.000000	1.822476
1.580000 	 1.818276 	 0.000000	1.818276
1.590000 	 1.814094 	 0.000000	1.814094
1.600000 	 1.809930 	 0.000000	1.809930
1.610000 	 1.805784 	 0.000000	1.805784
1.620000 	 1.801656 	 0.000000	1.801656
1.630000 	 1.797547 	 0.000000	1.797547
1.640000 	 1.793456 	 0.000000	1.793456
1.650000 	 1.789383 	 0.000000	1.789383
1.660000 	 1.785329 	 0.000000	1.785329
1.670000 	 1.781293 	 0.000000	1.781293
1.680000 	 1.777276 	 0.000000	1.777276
1.690000 	 1.773277 	 0.000000	1.773277
1.700000 	 1.769297 	 0.000000	1.769297
1.710000 	 1.765336 	 0.000000	1.765336
1.720000 	 1.761393 	 0.000000	1.761393
1.730000 	 1.757469 	 0.000000	1.757469
1.740000 	 1.753564 	 0.000000	1.753564
1.750000 	 1.749677 	 0.000000	1.749677
1.760000 	 1.745809 	 0.000000	1.745809
1.770000 	 1.741960 	 0.000000	1.741960
1.780000 	 1.738129 	 0.000000	1.738129
1.790000 	 1.734317 	 0.000000	1.734317
1.800000 	 1.730523 	 0.000000	1.730523
1.810000 	 1.726748 	 0.000000	1.726748
1.820000 	 1.722992 	 0.000000	1.722992
1.830000 	 1.719254 	 0.000000	1.719254
1.840000 	 1.715534 	 0.000000	1.715534
1.850000 	 1.711833 	 0.000000	1.711833
1.860000 	 1.708150 	 0.000000	1.708150
1.870000 	 1.704485 	 0.000000	1.704485
1.880000 	 1.700839 	 0.000000	1.700839
1.890000 	 1.697210 	 0.000000	1.697210
1.900000 	 1.693600 	 0.000000	1.693600
1.910000 	 1.690008 	 0.000000	1.690008
1.920000 	 1.686434 	 0.000000	1.686434
1.930000 	 1.682877 	 0.000000	1.682877
1.940000 	 1.679339 	 0.000000	1.679339
1.950000 	 1.675818 	 0.000000	1.675818
1.960000 	 1.672315 	 0.000000	1.672315
1.970000 	 1.668829 	 0.000000	1.668829
1.980000 	 1.665361 	 0.000000	1.665361
1.990000 	 1.661910 	 0.000000	1.661910
2.000000 	 1.658477 	 0.000000	1.658477
2.010000 	 1.655061 	 0.000000	1.655061
2.020000 	 1.651662 	 0.000000	1.651662
2.030000 	 1.648280 	 0.000000	1.648280
2.040000 	 1.644915 	 0.000000	1.644915
2.050000 	 1.641567 	 0.000000	1.641567
2.060000 	 1.638236 	 0.000000	1.638236
2.070000 	 1.634922 	 0.000000	1.634922
2.080000 	 1.631624 	 0.000000	1.631624
2.090000 	 1.628343 	 0.000000	1.628343
2.100000 	 1.625079 	 0.000000	1.625079
2.110000 	 1.621831 	 0.000000	1.621831
2.120000 	 1.618599 	 0.000000	1.618599
2.130000 	 1.615383 	 0.000000	1.615383
2.140000 	 1.612183 	 0.000000	1.612183
2.150000 	 1.609000 	 0.000000	1.609000
2.160000 	 1.605832 	 0.000000	1.605832
2.170000 	 1.602681 	 0.000000	1.602681
2.180000 	 1.599545 	 0.000000	1.599545
2.190000 	 1.596424 	 0.000000	1.596424
2.200000 	 1.593319 	 0.000000	1.593319
2.210000 	 1.590230 	 0.000000	1.590230
2.220000 	 1.587156 	 0.000000	1.587156
2.230000 	 1.584097 	 0.000000	1.584097
2.240000 	 1.581054 	 0.000000	1.581054
2.250000 	 1.578026 	 0.000000	1.578026
2.260000 	 1.575012 	 0.000000	1.575012
2.270000 	 1.572014 	 0.000000	1.572014
2.280000 	 1.569030 	 0.000000	1.569030
2.290000 	 1.566061 	 0.000000	1.566061
2.300000 	 1.563107 	 0.000000	1.563107
2.310000 	 1.560167 	 0.000000	1.560167
2.320000 	 1.557242 	 0.000000	1.557242
2.330000 	 1.554331 	 0.000000	1.554331
2.340000 	 1.551434 	 0.000000	1.551434
2.350000 	 1.548552 	 0.000000	1.548552
2.360000 	 1.545683 	 0.000000	1.545683
2.370000 	 1.542829 	 0.000000	1.542829
2.380000 	 1.539988 	 0.000000	1.539988
2.390000 	 1.537162 	 0.000000	1.537162
2.400000 	 1.534349 	 0.000000	1.534349
2.410000 	 1.531549 	 0.000000	1.531549
2.420000 	 1.528764 	 0.000000	1.528764
2.430000 	 1.525991 	 0.000000	1.525991
2.440000 	 1.523232 	 0.000000	1.523232
